study_id,authors,year,title,participants,measures,key_behavioural_findings,pwp_v_hc,pwp_v_icb,pwp_between_groups_other,pwp_within_groups,barratt_imp_scale,stroop,go_nogo,Trail Making Test,stop_signal,Delay Discounting,Simon,iowa_gambling,BART,Temperament and Character Inventory,Eriksen Flanker,Conditional Stop Signal task,Behavioural Inhibition Systems/Behavioural Approach Systems,Game of Dice,Cambridge Gambling Task,Snaith-Hamilton Pleasure Scale,Economics Task,Framing Paradigm,Deal or No Deal (ambiguous decision making),Manual Congruency Task,UPPS,Probability-Associated Gambling task (decision making under risk),Associative learning (learning through reward and punishment - DMuAmbiguity?),Vancouver Gambling Task,Monetary Decision Making,Zuckerman-Kuhlman Personality Questionnaire,Color Trails Test (TMT),Task switching,Rewarded Switching Task,Odd Man Out,Hayling Test,Stimulus-response associations,Beads task,Picture-Word Interference Task (lexical-semantic inhibition),Gambling Task,Oddball paradigm,"Countermanding task (""reaching"" SST)",Pro-/anti-saccades,Saccadic Visually guided/memory guided/etc,Saccadic Smooth pursuit,Saccadic GNG,Saccadic Simon,Saccadic other,Inhibition of Return,Covert orienting task (inhibition of return),Category Fluency,Verbal fluency,Semantic Priming,Random Number Generation,Selective Attention Task,Attention Network Test,Moving Dots Task,Cue-target detection task,Conner's Performance Test,Continuous Performance Test,Probabilistic Classification Task (reward and punishment learning),Probabilistic Selection Task,Reversal learning/reward and punishment,Intra-Extra Dimensional Set Shifting,Holt-Laury task,Excluded Letter Fluency Test,2-back task,Rewarded Reaction Time,Incentive Value Task,Verb/noun production task,Dimensional Integration Task,Orienting of Attention,Salience Attribution Test,Cued activation/inhibition task,Anagram task,Calculation task,Binary Choice Task,Valuation Rating Task,Choice Titration Task,Virtual Reality Motor Inhibition Task,Temporal bisection task,Temporal Trisection task,Crossed response inhibition task,Simple RT task,Investment Task,Masked Priming task,Negative Priming,Identity Priming Task,Location Priming Task,Ignored Repetition Task,Repetition Priming,Choice Reaction Task (Paper-rock-scissors),Virtual Multiple Errand Test,Anti-cue keypress task,Temporal Interval Task,Working memory task,Wisconsin Card Sorting Task,Marble Task,Interference task,Stop-Change Paradigm,Lexical ambiguity,Tridimensional Personality Questionnaire,Visuomotor tracking task,Reversal learning
32,Bokura et al. (2005) ,2005,Event-related potentials for response inhibition in Parkinson's disease,(a) 13 PwP. (b) 14 HC.,Go/No-Go (response inhibition). Also: EEG.,"PwP group showed more errors than HC, but no difference in RTs.",yes,no,no,no,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Boller et al. (2014),2014,Decision-making under risk is improved by both dopaminergic medication and subthalamic stimulation in Parkinson's disease,"(a) 18 PwP (9 male), age 64.3 (10.2). UPDRS OFF medication OFF DBS 45.5 (17.1), duration 13.61 (7.11). (b) 18 HC (10 male), age 63.7 (9).","Game of Dice task (decision-making under risk). Also: STN-DBS ON/OFF, medication ON/OFF.","PwP showed more risky, disadvantageous behaviour ON medication and ON DBS compared to HC (less positive net score). No differences in net scores with medication ON and DBS OFF, but less positive net scores when combining medication ON versus medication OFF and when combining DBS ON versus DBS OFF. Suggests medication and DBS independently contribute to more advantageous behaviour, but no significant interaction of the two. No effect of medication or DBS on the use of negative feedback to make more advantageous decisions.",yes,no,no,yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Boubert & Barnes (2015) ,2015,Phenomenology of Visual Hallucinations and Their Relationship to Cognitive Profile in Parkinson's Disease Patients: Preliminary Observations,"(a) 17 PwP+internal hallucinations, age 76.42 (5.63). H&Y 3.75 (0.89), duration 12.93 years (5.98). (b) 18 PwP+external hallucinations, age 73.45 (6.36). H&Y 4.2 (0.77), duration 12.02 years (5.67). (c) 20 PwP-hallucinations, age 72.18 (10.26). H&Y 3.34 (0.41), duration 10.72 years (4.52).","Category fluency (inhibitory ability), Stroop Task (inhibitory ability).","Stroop RT interference cost was significantly higher for PwP+external compared to PwP+internal and PwP-hallucinations, and significantly higher for PwP+internal compared to PwP-hallucinations. Category fluency % responses that were perseverations: PwP+external performed worse than PwP+internal and PwP-hallucinations. No other group differences.",no,no,yes,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bouquet et al. (2003) ,2003,Investigation of supervisory attentional system functions in patients with Parkinson's disease using the Hayling task,"(a) 20 PwP (12 male), age 66.1 (7.6). H&Y 1.83 (0.37), duration 10.25 years (5.83). (b) 20 HC (13 male), age 63.5 (10.1).","Hayling test (verbal inhibition), Trail Making Test Part B (executive control).",PwP were less able to inhibit irrelevant responses in the Hayling test (longer latencies) compared to HC. No differences error rate or in the use of strategies in Hayling test between PwP and HC. No differences in Trail Making Test scores between PwP and HC.,yes,no,no,no,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Brandt et al. (2015) ,2015,Betting on DBS: Effects of Subthalamic Nucleus Deep Brain Stimulation on Risk Taking and Decision Making in Patients With Parkinson's Disease,"(a) 15 PwP+DBS (7 male), age 67.15 (6.28). UPDRS ON 18.57 (12.55), UPDRS OFF 32.45 (16.79). (b) 15 PwP (8 male), age 64.78 (8.09). UPDRS 14.43 (10.14). (c) 15 HC (9 male), age 62.39 (10.04).","Game of Dice (risky decision making), Deal or No Deal (ambiguous decision making), Framing Paradigm (risky decision making). Also: STN-DBS ON/OFF.","Game of Dice: HCs showed reduced risky decision making compared to both PwP+DBS and PwP, and PwP+DBS patients showed reduced risky decision making compared to PwP. HCs showed reduced risky decisions under ambiguity than both PwP+DBS and PwP, and PwP+DBS patients showed reduced risky decision making under ambiguity than PwP. All participants generally risk averse, no significant differences between groups for risky gains or risky losses. PwP patients won more money in the Deal or No Deal task when DBS was switched OFF compared to ON, but no other significant differences in any other tasks.",yes,no,yes,yes,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Briand et al. (2001) ,2001,Automatic orienting of visuospatial attention in Parkinson's disease,"(a) 7 PwP OFF  meds (5 male), age 72.4. UPDRS OFF 29.6, H&Y 1.5-3, duration 9.1 years. (b) 8 HC (8 male), age 72.6.",Covert orienting task (Inhibition of return).,"PwP faster than HCs generally. No group interactions with SOA or cue type (cued/uncued), suggesting “little evidence for reflexive orienting differences” between groups. Same results for error rates.",yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Buelow et al. (2014),2014,The Contribution of Apathy and Increased Learning Trials to Risky Decision-Making in Parkinsons Disease,"(a) 10 PwP+apathy (7 male), age 66.70 (9.96).  UPDRS 29.89 (13.14), H&Y 2.56 (0.73). (b) 14 PwP-apathy (6 male), age 69 (6.19). UPDRS 29.62 (6.85), H&Y 2.23 (0.33). (c) 13 HC (6 male), age 69.62 (6.36).","Iowa Gambling Task (risky decision making), Balloon Analogue Risk Task (risky decision making).","Risky decision making on the BART did not differ between PwP and HC participants, nor between those patients exhibiting apathy versus those that did not. PwP patients showed more risky decision making on the IGT compared to HC. PwP+apathy selected more from disadvantageous decks in later trials than PwP-apathy and HC. Levodopa equivalent dose was not related to performance on the BART or the IGT.",yes,no,yes,no,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Cagigas et al. (2007) ,2007,Flanker compatibility effects in patients with Parkinson's disease: Impact of target onset delay and trial-by-trial stimulus variation,"(a) 20 PwP (13 male), age 69.95 (7.53). H&Y 1-3. (b) 15 HC (9 male), age 61.87 (10.59).",Eriksen Flanker task (response inhibition).,No differences in RT interference effect between PwP and HC. No group differences when n-1 was compatible and n was compatible or incompatible (i.e. requiring a response change or not),yes,no,no,no,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Cammisuli & Crowe (2018),2018,Spatial disorientation and executive dysfunction in elderly nondemented patients with Parkinson's disease,"(a) 40 PwP (29 male), 71.2 (7.8). UPDRS 17.8 (10.1), H&Y 2, duration 3.3 years (2.8). (b) 30 HC (15 male), 70.7 (7.8).",Go/No-Go (inhibitory control),PwP performed worse than HCs,yes,no,no,no,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Cammisuli & Sportiello (2017),2017,Conscious attention defect and inhibitory control deficit in Parkinson's disease-mild cognitive impairment: A comparison study with amnestic mild cognitive impairment multiple domain,"(a) 40 PwP+MCI (24 male), 73.1 (7.7). UPDRS 25 (9), H&Y 1.3 (0.5). (b) 22 HC (10 male), 69.1 (7.8).",Stroop task (attention/working memory),PwP+MCI scored worse for Stroop interference errors and RTs compared to HCs.,yes,no,no,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Campbell et al. (2008) ,2008,Neural correlates of STN DBS-induced cognitive variability in Parkinson disease,"24 PwP (14 male), 61.7 (9.2). Duration 12.8 years (4.7).","Go/No-Go task (response inhibition). Also: STN-DBS ON/OFF, medication OFF.",No effect of STN-DBS ON/OFF on response inhibition accuracy in GNG task.,no,no,no,yes,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Campos-Sousa et al. (2010) ,2010,Executive dysfunction and motor symptoms in Parkinson's disease,"(a) 23 PwP with a duration less than 3 years (11 male), age 62.22 (7.44). Duration 1.71 (0.89). (b) 21 PwP with a duration greater than 3 years (10 male), age 59.67 (9.67). Duration 6.52 (3.37). (c) 25 HC (8 male), age 59.08 (8.89).","Trail Making Test Part B (inhibition), Stroop task (inhibition).","HCs faster at TMT than both PwP groups, but no significant differences between groups in terms of errors. When required to say the word and suppress the colour, HCs were better than both PwP groups, but when required to say the colour and suppress the impulse to say the word HCs were better than PwP with < 3 years duration) but not PwP with > 3 years duration.",yes,no,yes,no,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Canesi et al. (2012) ,2012,Artistic productivity and creative thinking in Parkinson's disease,"(a) 18 PwP with increased artistic-like production, age 59.4 (7.5). UPDRS 19 (10.2), H&Y 2.1 (0.5), duration 8.9 years (3.5). (b) 18 PwP without increased artistic-like production, age 62.5 (7.4). UPDRS 19.8 (5.4), H&Y 2.1 (0.4), duration 10.5 years (6.5). (C) 36 HC, age 60.2 (9.7).",Barratt Impulsiveness Scale ().,No differences in BIS scores between groups. BIS scores were not correlated with creative thinking. Increased artistic-like production were not associated with impulse control deficits.,yes,no,yes,no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Carriere et al. (2016) ,2016,Impulse Control Disorders in Parkinson's Disease are Associated with Alterations in Reward-Related Cortical Oscillations,"(a) 12 PwP (8 male), age 56 (6.8). UPDRS 20.3 (8.0), H&Y 1.9 (0.4), duration 6.7 years (4.6). (b) 12 PwP+ICB (9 male), age 58.7 (9.7). UPDRS 21.3 (8.8), H&Y 1.8 (0.4), duration 6.7 (4.1). (c) 14 HC (9 male), age 57 (8.6).",Gambling task (reward processing). Also: EEG.,No significant differences between groups in the frequency of risky choices based on the outcome of the previous trial.,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Castner et al. (2007) ,2007,Lexical-semantic inhibitory mechanisms in Parkinson's disease as a function of subthalamic stimulation,"(a) 18 STN-DBS PwP (13 male), age 61.5 (41-76). UPDRS ON 11.94 (5.71), H&Y 2.78 (0.67), duration 12.83 years (4.55). (b) 21 HC (13 male), age 62.3 (49-74).","Hayling Test (behavioural inhibition), Picture-Word Interference Task (interference control/lexical-semantic inhibitory control). Also: STN-DBS ON/OFF.","Picture-Word Interference Task: RTs didn’t differ depending on distractor relatedness (high conflict and low conflict) between PwP and HC or STN-DBS ON or OFF. Hayling Test: STN-DBS OFF participants had longer RTs and increased errors than with STN-DBS ON and compared to HCs, and PwP made less errors ON than OFF STN-DBS. No significant differences in strategic responses between groups or STN-DBS ON/OFF.",yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Castrioto et al. (2015) ,2015,Iowa gambling task impairment in Parkinson's disease can be normalised by reduction of dopaminergic medication after subthalamic stimulation,"(a) 20 PwP (11 male), age 53.2 (6.6). UPDRS OFF 42.6 (12.5), UPDRS OFF L-dopa pre-DBS 42.6 (12.5), ON L-dopa pre-DBS 12.3 (6.1), OFF L-dopa OFF DBS 41.7 (14.4), ODD L-dopa ON DBS 14.3 (8.8), duration 10.3 years (3.8). (B) 24 HC (9 male), age 54.9 (7.6).","Iowa Gambling Task (impulsive decision making). Also: STN-DBS pre-operatively/post-operatively, STN-DBS ON/OFF, medication ON/OFF.","PwP participants (pre-operatively) did not learn to pick advantageously over time (ON/OFF meds made no difference). Participants became less impulsive postoperatively (total scores, and ability to pick advantageously). PwP displayed less impulsive decisions post-operatively than pre-operatively, but this was not influenced by whether medication was ON/OFF preoperatively or STN-DBS was ON/OFF and medication OFF postoperatively. PwP only performed worse than HCs pre-operatively and when OFF medication. No differences in learning by positive/negative feedback over time.",yes,no,no,yes,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Centi et al (2017),2017,Effects of orthostatic hypotension on cognition in Parkinson disease,"(a) 19 PwP without orthostatic hypotension (11 male), 65.6 (9.5). H&Y 2 (1-3), duration 5.7 years (2). (b) 18 PwP with orthostatic hypotension (11 male), 64.3 (6.5). H&Y 2 (1-3), duration 6.7 years (2.3). (c) 18 HC (9 male), 62.9 (7.6).",Stroop task (sustained attention and response inhibition),Made comparisons between PwP with and without orthostatic hypotension (HC). PwP without OH got less correct words in interference condition compared to HCs. No other significant group differences. PwP with OH showed posture-mediated impairment on number of correct words compared to HC (after being tilted).,yes,no,yes,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Cerasa et al. (2015) ,2015,The Motor Inhibition System in Parkinson's Disease With Levodopa-Induced Dyskinesias,"(a) 14 PwP+dyskinesias (9 male), age 67.7 (7.7). UPDRS 22.9 (7.8), H&Y 2 (2-3), duration 6.2 years (1.9). (b) 14 PwP-dyskinesias (9 male), age 67 (7.4). UPDRS 18.8 (4.4), H&Y 2 (2-2.5), duration 5.2 years (3.9).","Stop Signal Task (reactive inhibition), Stroop Task (), Barratt Impulsiveness Scale (impulsivity). Also: Medication ON/OFF, fMRI.","No difference between PwP patients with levodopa induced dyskinesia and PwP patients without dyskinesias on any measures (response inhibition on Stop Signal task, impulsivity on the BIS, or performance on the Stroop).",no,no,yes,no,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Chan et al. (2005) ,2005,Deficits in saccadic eye-movement control in Parkinson's disease,"(a) 18 PwP (11 male), age 67 (38-81. H&Y 1-3. (b) 18 HC (5 male), age 65.7 (35-83).","Pro-saccade task (automatic saccade), anti-saccade task (saccadic response inhibition).","PwP were slower than HC in the anti-saccade task but not the pro-saccade task, regardless of whether it was the gap (delay between fixation and target) or overlap (fixation remained with target onset) condition. Both groups showed slower RT in the overlap condition compared to the gap condition. Anti-saccade RT minus pro-saccade RT was greater for PwP than HC and PwP made more errors in antisaccade (less oculomotor inhibitory control). No difference in RT for correct responses between PwP and HC, but PwP made more errors generally and more direction errors in antisaccade task. PwP less able to inhibit responses on delayed prosaccade task than immediate prosaccade.",yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Claassen et al. (2011) ,2011,The Risky Business of Dopamine Agonists in Parkinson Disease and Impulse Control Disorders,"(a) 22 PwP+ICB (13 male), age 61.4 (5.5). UPDRS 18.7 (7.2), duration 9.7 years (7.0). (b) 19 PwP-ICB (9 male), age 63.8 (8.1). UPDRS 15.9 (8.4), duration 6.1 years (4.4).",Balloon Analogue Risk Task (risk taking). Also: Dopamine agonists ON/OFF.,"No differences in adjusted pumps between OFF/ON states or between PwP+ICB and PwP-ICB. No differences between PwP+ICB and PwP-ICB when OFF agonists, but when ON the PwP+ICB group increased number of pumps. Pumps on trials following a pop (negative outcome) was not influenced by ON/OFF or ICB status.",no,yes,no,yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Cools et al. (2003),2003,"L-Dopa medication remediates cognitive inflexibility, but increases impulsivity in patients with Parkinson's disease","(a) 12 PwP (5 male), age 64.6 (2.2). UPDRS ON 30.9 (6.8), UPDRS OFF 47.1 (7.7), H&Y ON 1.9 (0.2), H&Y OFF 2.3 (0.2), duration 6.5 years (1.4). (b) 12 task switching HCs (6 male), age 62.7 (1.8). (c) 12 gambling task HCs (10 male), age 64.2 (1).","Task switching (cognitive inflexibility), Cambridge Gambling Task (decision making/impulsivity). Also: Medication ON/OFF.","Switch costs higher OFF than ON meds when cue-stimulus interval was shorter (i.e. less time to prepare), but no differences when interval was longer and they were able to use external cue. No switch cost differences between PwP and HCs generally, but switch costs were greater OFF compared to HCs but no diffs ON. In the CGT there were no differences between HCs and PwPs, or when ON vs OFF medication, for quality of decision making and deliberation time measures. However overall impulsivity was higher ON vs OFF medication, and higher than HCs when ON medication.",yes,no,no,yes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Cools et al. (2006) ,2006,Reversal learning in Parkinson's disease depends on medication status and outcome valence,"(a) 10 PwP OFF medication, age 64.6 (8.5). UPDRS ON 22.4 (15.1), UPDRS OFF 32.1 (17), duration 11 years (8.8). (b) 10 PwP ON medication, age 68.9 (8.7). UPDRS ON 25.4 (16.2), duration 8.1 (5.8). (c) 12 HC, age 67.8 (8.2).","Stroop task(), Behavioural Inhibition Systems/Behavioural Approach Systems (sensitivity to reward and punishment), Reversal learning (reward and punishment learning).","No differences on Stroop (items named in 45 secs and number of errors in interference condition) between PwP and HC and PwP ON vs OFF. No group differences for BIS or BAS. For PwP ON meds, there was a higher error rate on reversal learning switch trials for unexpected punishment than unexpected reward (i.e. a reduced sensitivity to punishment vs reward). For HCs andPwP OFF meds, there were no significant differences in error rate between unexpected punishment and unexpected reward on switch trials. No significant differences between HCs and either PwP ON or PwP OFF for valence (reward/punishment) on switch trials.",yes,no,yes,no,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
54,Copland (2003) ,2003,"The basal ganglia and semantic engagement: Potential insights from semantic priming in individuals with subcortical vascular lesions, Parkinson's disease, and cortical lesions","(a) 10 PwP (4 male), 68.60 (8.33). H&Y 2.75 (0.83). (b) 10 HC, 54 (11.65)",Semantic Priming Task (inhibition),"Didn’t claim to directly measure inhibition but speculate: at the long ISI, priming for dominant and subordinate meanings was maintained in PwP but not HCs. At short ISI both groups maintained priming for dominant and subordinate meanings.",yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
55,Crescentini et al. (2008) ,2008,Supervisory and routine processes in noun and verb generation in nondemented patients with Parkinson's disease,"(a) 20 PwP (12 male), 64.6 (5.9). UPDRS 17.1 (9.7), H&Y 1-3, duration 7.4 years (4.9). (b) 20 HC (12 male), 66.1 (7.4).",Verb/noun production task (inhibition of competing alternatives),"No group differences in accuracy or RT for noun production, but PwP significantly worse than HCs for verb production (in all conditions). For noun production, PwP participants performed better (higher accuracy, reduced RT) when there was a strong association rather than a weak one, but HCs performed no differently. For verb production, both groups performed better (higher accuracy, reduced RT) when there was a strong association rather than a weak one.",yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Crescentini et al. (2012),2012,Preserved and impaired task-switching abilities in non-demented patients with Parkinson's disease,"(a) 16 PwP (8 male), 63.6 (5.9). UPDRS 22.9 (10.1), H&Y 1-2.5, duration 6 years (2.5). (b) 16 HC (6 male), 61.6 (4).","Trail Making Test, Stroop task, Go/No-Go (inhibition).","PwP performed worse on TMT and Stroop, but not Go/No-Go. PwP slower on TMT-B.",yes,no,no,no,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Criaud et al. (2016) ,2016,Slowness in Movement Initiation is Associated with Proactive Inhibitory Network Dysfunction in Parkinson's Disease,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
58,Crucian et al. (2007) ,2007,The crossed response inhibition task in Parkinson's disease: Disinhibition hyperkinesia,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
59,D'Ostilio et al. (2013) ,2013,Impaired automatic and unconscious motor processes in Parkinson's disease,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
60,de Rezende Costa et al. (2016) ,2016,Jumping to conclusions in untreated patients with Parkinson's disease,"(a) 25 de novo PwP (17 male), 54.2 (10.5). UPDRS 20.6 (9.9), H&Y 1.9 (0.90), duration 1.4 years (0.9). (b) 20 HC (12 male), 52.5 (10.3).","Beads task (reflection impulsivity), Kirby temporal discounting questionnaire (temporal discounting), Frontal Access Battery Go/No-Go (motor impulsivity).",PwP exhibit greater reflection impulsivity than HC (made less draws and therefore gathered less evidence). No differences between groups for temporal discounting or motor impulsivity. Temporal discounting and motor impulsivity were not related to reflection impulsivity.,yes,no,no,no,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Delazer et al. (2009) ,2009,Decision making under risk and under ambiguity in Parkinson's disease,"(a) 20 PwP (15 male), 68.5 (5.9). UPDRS 17.6 (8.7), H&Y 1.8 (0.6), duration 62.95 months (76.53). (b) 19 PwP+dementia (8 male), 72.2 (5.1). UPDRS 29.9 (9.9), H&Y 2.5 (0.6), duration 96 months (57.99). (c) 20 HC (3 male), 71.3 (3.5).","Iowa Gambling Task (decision making under ambiguity, decision making under risk), Probability-Associated Gambling Task (decision making under risk), Trail Making Test B (set shifting), Go/No-Go (Frontal Assessment Battery – inhibitory control).","TMT-B – PwP+dementia patients slower than both PwP and HC participants. Go/No-Go – PwP+dementia patients scored worse than PwP (no comparison available between PwP and HC). IGT - HCs chose advantageous decks more than PwP and PwP+dementia, and learned to do so over time whereas the patient groups did not. Suggests problem learning by feedback in PwP and PwP+dementia? PAG – PwP+dementia showed riskier decision making when they had a low probability of winning, compared to PwP and HC, but no differences when there was a high probability of winning.",yes,no,yes,no,,,1,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Di Rosa et al. (2016) ,2016,Working memory in healthy aging and in Parkinson's disease: evidence of interference effects,"(a) 20 PwP (12 male), 69.5 (7.25). UPDRS 9.9 (4.5). (b) 19 HC (11 male), 72.1 (2.3).",Working memory task (attention and inhibition components of working memory),,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
63,Disbrow et al. (2013) ,2013,Movement activation and inhibition in Parkinson's disease: A functional imaging study,"(a) 13 PwP (8 male), 57.5 (11.8). H&Y 1.5 (0.7), duration 6.5 years (3.9). (b) 13 HC (8 male), 63.9 (7.0).",Cued activation/inhibition task (response inhibition). Also: fMRI.,No differences in reaction times or accuracy between PwP and HC groups.,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
